Date,Result,Lucky Ball,Top prize,Source,Number1,Number2,Number3,Number4,Number5,BonusNumber
2025-02-04,"2, 5, 23, 29, 47",8.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-02-03,"3, 24, 28, 33, 35",16.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-02-02,"5, 6, 17, 27, 36",12.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-02-01,"4, 34, 36, 42, 47",2.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-01-31,"3, 7, 34, 39, 44",13.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-01-30,"9, 13, 18, 23, 40",4.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-01-29,"1, 20, 25, 30, 34",11.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-01-28,"7, 20, 24, 39, 43",9.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-01-27,"7, 16, 41, 42, 48",5.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-01-26,"1, 10, 21, 28, 40",11.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-01-25,"8, 26, 28, 38, 46",6.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-01-24,"14, 26, 35, 39, 40",10.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-01-23,"9, 13, 18, 24, 46",6.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-01-22,"24, 25, 37, 44, 45",9.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-01-21,"18, 27, 30, 40, 44",15.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-01-20,"4, 8, 12, 22, 35",15.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-01-19,"8, 24, 35, 43, 46",4.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-01-18,"4, 12, 13, 32, 43",17.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-01-17,"1, 4, 6, 9, 46",4.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-01-16,"13, 20, 29, 32, 37",6.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-01-15,"19, 31, 33, 36, 46",7.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-01-14,"3, 6, 17, 26, 39",4.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-01-13,"13, 17, 35, 41, 44",5.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-01-12,"2, 10, 22, 26, 47",8.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-01-11,"21, 22, 26, 27, 48",12.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-01-10,"3, 9, 21, 33, 36",1.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-01-09,"2, 4, 14, 17, 28",11.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-01-08,"13, 14, 24, 37, 38",13.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-01-07,"16, 24, 30, 32, 44",2.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-01-06,"6, 22, 31, 39, 44",3.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-01-05,"6, 27, 31, 33, 47",13.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-01-04,"3, 9, 27, 29, 33",6.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-01-03,"14, 15, 20, 23, 28",12.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-01-02,"12, 14, 27, 44, 46",6.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2025-01-01,"7, 15, 17, 39, 40",16.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-12-31,"19, 27, 37, 41, 48",15.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-12-30,"7, 14, 18, 25, 47",18.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-12-29,"7, 18, 26, 35, 38",1.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-12-28,"14, 19, 21, 25, 30",9.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-12-27,"15, 21, 24, 32, 43",11.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-12-26,"9, 10, 12, 30, 47",9.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-12-25,"4, 10, 35, 42, 45",2.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-12-24,"16, 22, 24, 43, 47",11.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-12-23,"10, 20, 22, 23, 43",1.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-12-22,"4, 7, 37, 43, 47",8.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-12-21,"2, 9, 10, 41, 42",9.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-12-20,"9, 20, 21, 35, 36",3.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-12-19,"2, 5, 13, 18, 29",16.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-12-18,"19, 26, 30, 31, 41",16.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-12-17,"4, 18, 29, 36, 37",18.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-12-16,"3, 16, 29, 31, 33",9.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-12-15,"9, 12, 22, 36, 45",3.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-12-14,"10, 16, 35, 40, 42",16.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-12-13,"3, 15, 32, 34, 37",18.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-12-12,"5, 7, 17, 19, 32",12.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-12-11,"10, 19, 32, 44, 46",1.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-12-10,"6, 12, 30, 39, 46",10.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-12-09,"1, 13, 19, 22, 28",11.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-12-08,"1, 2, 39, 40, 42",4.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-12-07,"1, 17, 34, 41, 45",14.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-12-06,"1, 3, 33, 36, 39",1.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-12-05,"4, 13, 25, 44, 47",18.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-12-04,"1, 13, 25, 33, 46",6.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-12-03,"6, 11, 28, 30, 37",9.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-12-02,"5, 13, 14, 31, 42",15.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-12-01,"1, 7, 25, 33, 46",7.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-11-30,"21, 22, 32, 36, 48",5.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-11-29,"19, 21, 31, 38, 39",5.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-11-28,"18, 33, 42, 44, 45",2.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-11-27,"5, 16, 22, 25, 45",15.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-11-26,"27, 29, 32, 33, 47",2.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-11-25,"7, 10, 14, 33, 36",1.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-11-24,"7, 11, 14, 26, 48",15.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-11-23,"11, 20, 21, 26, 31",7.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-11-22,"17, 31, 33, 38, 46",17.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-11-21,"4, 11, 13, 45, 47",18.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-11-20,"3, 29, 30, 39, 45",13.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-11-19,"7, 10, 17, 24, 26",13.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-11-18,"4, 9, 10, 28, 29",1.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-11-17,"10, 20, 26, 28, 42",2.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-11-16,"6, 11, 18, 20, 29",4.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-11-15,"5, 28, 34, 38, 44",13.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-11-14,"5, 22, 30, 33, 44",3.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-11-13,"18, 24, 27, 43, 45",8.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-11-12,"11, 21, 22, 24, 48",8.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-11-11,"5, 11, 17, 19, 30",11.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-11-10,"11, 18, 32, 38, 40",3.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-11-09,"4, 7, 19, 36, 39",1.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-11-08,"2, 7, 19, 42, 47",4.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-11-07,"5, 10, 30, 37, 40",5.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-11-06,"4, 7, 12, 14, 43",5.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-11-05,"1, 9, 14, 38, 45",12.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-11-04,"8, 18, 28, 36, 43",6.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-11-03,"5, 13, 18, 21, 42",8.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-11-02,"21, 25, 30, 34, 35",9.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-11-01,"15, 37, 39, 45, 47",16.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-10-31,"29, 30, 31, 33, 36",4.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-10-30,"14, 17, 27, 28, 43",13.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2024-10-29,"4, 8, 9, 25, 48",10.0,"$1,000 Per day for life",LotteryUSA,,,,,,
2021-01-01,,,,PDF_OCR,3.0,2.0,7.0,3.0,2.0,2.0
2021-01-01,,,,PDF_OCR,3.0,4.0,2.0,2.0,8.0,2.0
2021-01-01,,,,PDF_OCR,44.0,4.0,1.0,4.0,1.0,4.0
2021-01-01,,,,PDF_OCR,12.0,3.0,2.0,4.0,4.0,5.0
2021-01-01,,,,PDF_OCR,4.0,8.0,11.0,20.0,24.0,7.0
2021-01-01,,,,PDF_OCR,31.0,1.0,1.0,7.0,3.0,1.0
2021-01-01,,,,PDF_OCR,4.0,2.0,2.0,1.0,7.0,8.0
2020-01-01,,,,PDF_OCR,8.0,8.0,8.0,8.0,4.0,8.0
2020-01-01,,,,PDF_OCR,4.0,1.0,1.0,1.0,2.0,1.0
2020-01-01,,,,PDF_OCR,18.0,8.0,8.0,1.0,1.0,13.0
2020-01-01,,,,PDF_OCR,18.0,1.0,2.0,8.0,1.0,4.0
2020-01-01,,,,PDF_OCR,8.0,8.0,8.0,3.0,5.0,3.0
2020-01-01,,,,PDF_OCR,8.0,8.0,8.0,8.0,8.0,8.0
2020-01-01,,,,PDF_OCR,8.0,8.0,8.0,8.0,12.0,8.0
2020-01-01,,,,PDF_OCR,8.0,8.0,4.0,8.0,8.0,8.0
2020-01-01,,,,PDF_OCR,3.0,8.0,8.0,2.0,8.0,18.0
2020-01-01,,,,PDF_OCR,3.0,9.0,9.0,3.0,9.0,3.0
2020-01-01,,,,PDF_OCR,3.0,1.0,8.0,4.0,3.0,12.0
2020-01-01,,,,PDF_OCR,8.0,2.0,48.0,8.0,28.0,2.0
2020-01-01,,,,PDF_OCR,1.0,1.0,1.0,1.0,1.0,18.0
2020-01-01,,,,PDF_OCR,8.0,1.0,1.0,1.0,1.0,7.0
2020-01-01,,,,PDF_OCR,3.0,8.0,8.0,3.0,3.0,8.0
2020-01-01,,,,PDF_OCR,9.0,9.0,3.0,3.0,9.0,3.0
2019-01-01,,,,PDF_OCR,9.0,9.0,9.0,9.0,3.0,9.0
2019-01-01,,,,PDF_OCR,8.0,2.0,3.0,8.0,8.0,3.0
2019-01-01,,,,PDF_OCR,1.0,4.0,1.0,1.0,1.0,1.0
2019-01-01,,,,PDF_OCR,3.0,16.0,1.0,18.0,1.0,1.0
2019-01-01,,,,PDF_OCR,2.0,1.0,1.0,1.0,1.0,1.0
2019-01-01,,,,PDF_OCR,1.0,1.0,11.0,1.0,1.0,11.0
2019-01-01,,,,PDF_OCR,3.0,6.0,1.0,1.0,1.0,3.0
2019-01-01,,,,PDF_OCR,1.0,1.0,1.0,1.0,1.0,14.0
2019-01-01,,,,PDF_OCR,21.0,1.0,1.0,1.0,1.0,1.0
2019-01-01,,,,PDF_OCR,1.0,1.0,1.0,9.0,10.0,9.0
2019-01-01,,,,PDF_OCR,3.0,1.0,7.0,1.0,1.0,3.0
2019-01-01,,,,PDF_OCR,1.0,1.0,1.0,1.0,11.0,1.0
2019-01-01,,,,PDF_OCR,3.0,7.0,1.0,1.0,1.0,1.0
2019-01-01,,,,PDF_OCR,18.0,21.0,8.0,8.0,8.0,1.0
2019-01-01,,,,PDF_OCR,9.0,9.0,9.0,9.0,9.0,3.0
2018-09-02,,,,PDF_OCR,3.0,3.0,2.0,4.0,8.0,8.0
