Date,Result,Mega Ball,Megaplier,Est. jackpot,Source,Number1,Number2,Number3,Number4,Number5,BonusNumber
2025-03-14,"3, 17, 39, 42, 70",1.0,x3,$277 Million ,LotteryUSA,,,,,,
2025-03-11,"1, 19, 26, 38, 69",15.0,x3,$256 Million ,LotteryUSA,,,,,,
2025-03-07,"8, 20, 48, 58, 60",7.0,x3,$233 Million ,LotteryUSA,,,,,,
2025-03-04,"14, 19, 47, 52, 70",6.0,x2,$215 Million ,LotteryUSA,,,,,,
2025-02-28,"9, 19, 30, 35, 66",16.0,x3,$197 Million ,LotteryUSA,,,,,,
2025-02-25,"4, 8, 11, 32, 52",13.0,x2,$181 Million ,LotteryUSA,,,,,,
2025-02-21,"1, 13, 28, 37, 46",10.0,x2,$165 Million ,LotteryUSA,,,,,,
2025-02-18,"1, 20, 25, 58, 61",22.0,x2,$145 Million ,LotteryUSA,,,,,,
2025-02-14,"11, 19, 31, 49, 56",16.0,x3,$129 Million ,LotteryUSA,,,,,,
2025-02-11,"7, 30, 39, 41, 70",13.0,x3,$110 Million ,LotteryUSA,,,,,,
2025-02-07,"4, 24, 32, 41, 55",16.0,x2,$94 Million ,LotteryUSA,,,,,,
2025-02-04,"14, 24, 31, 53, 54",1.0,x3,$77 Million ,LotteryUSA,,,,,,
2025-01-31,"9, 28, 48, 56, 63",2.0,x2,$59 Million ,LotteryUSA,,,,,,
2025-01-28,"10, 19, 31, 47, 56",6.0,x5,$44 Million ,LotteryUSA,,,,,,
2025-01-24,"8, 12, 43, 52, 62",18.0,x2,$28 Million ,LotteryUSA,,,,,,
2025-01-21,"27, 30, 56, 64, 65",22.0,x4,$20 Million ,LotteryUSA,,,,,,
2025-01-17,"8, 10, 37, 54, 69",22.0,x3,$113 Million ,LotteryUSA,,,,,,
2025-01-14,"4, 14, 35, 49, 62",6.0,x3,$95 Million ,LotteryUSA,,,,,,
2025-01-10,"9, 23, 39, 65, 66",22.0,x3,$77 Million ,LotteryUSA,,,,,,
2025-01-07,"20, 24, 33, 39, 48",18.0,x2,$62 Million ,LotteryUSA,,,,,,
2025-01-03,"20, 42, 46, 59, 69",19.0,x4,$42 Million ,LotteryUSA,,,,,,
2024-12-31,"13, 22, 27, 29, 35",1.0,x2,$20 Million ,LotteryUSA,,,,,,
2024-12-27,"3, 7, 37, 49, 55",6.0,x3,$1.22 Billion ,LotteryUSA,,,,,,
2024-12-24,"11, 14, 38, 45, 46",3.0,x3,$1 Billion ,LotteryUSA,,,,,,
2024-12-20,"2, 20, 51, 56, 67",19.0,x2,$862 Million ,LotteryUSA,,,,,,
2024-12-17,"56, 66, 67, 68, 69",18.0,x4,$760 Million ,LotteryUSA,,,,,,
2024-12-13,"36, 43, 52, 58, 65",16.0,x3,$695 Million ,LotteryUSA,,,,,,
2024-12-10,"12, 14, 26, 48, 52",21.0,x5,$619 Million ,LotteryUSA,,,,,,
2024-12-06,"16, 21, 33, 39, 45",24.0,x2,$579 Million ,LotteryUSA,,,,,,
2024-12-03,"52, 60, 61, 66, 67",23.0,x4,$541 Million ,LotteryUSA,,,,,,
2024-11-29,"3, 29, 34, 37, 38",17.0,x2,$514 Million ,LotteryUSA,,,,,,
2024-11-26,"5, 22, 24, 39, 42",3.0,x3,$489 Million ,LotteryUSA,,,,,,
2024-11-22,"13, 20, 26, 32, 65",2.0,x2,$453 Million ,LotteryUSA,,,,,,
2024-11-19,"5, 35, 50, 51, 59",8.0,x4,$420 Million ,LotteryUSA,,,,,,
2024-11-15,"5, 17, 35, 55, 69",19.0,x2,$387 Million ,LotteryUSA,,,,,,
2024-11-12,"18, 31, 33, 64, 68",17.0,x3,$361 Million ,LotteryUSA,,,,,,
2024-11-08,"25, 28, 42, 64, 69",19.0,x3,$334 Million ,LotteryUSA,,,,,,
2024-11-05,"2, 24, 25, 52, 58",9.0,x2,$303 Million ,LotteryUSA,,,,,,
2024-11-01,"11, 22, 42, 46, 51",4.0,x2,$281 Million ,LotteryUSA,,,,,,
2024-10-29,"16, 22, 26, 36, 56",1.0,x4,$250 Million ,LotteryUSA,,,,,,
2021-01-01,,,,,PDF_OCR,4.0,8.0,11.0,20.0,24.0,7.0
2021-01-01,,,,,PDF_OCR,12.0,3.0,2.0,4.0,4.0,5.0
2021-01-01,,,,,PDF_OCR,4.0,2.0,2.0,1.0,7.0,8.0
