Date,Main draw,Powerball,Power Play,Double Play,Powerball.1,Power Play.1,Est. jackpot,Source,Number1,Number2,Number3,Number4,Number5,BonusNumber
2025-07-16,"4, 21, 43, 48, 49",22.0,x2,"8, 23, 42, 56, 68",10.0,,$266 Million ,LotteryUSA,,,,,,
2025-07-14,"8, 12, 45, 46, 63",24.0,x2,"9, 14, 38, 39, 41",25.0,,$250 Million ,LotteryUSA,,,,,,
2025-07-12,"8, 16, 24, 33, 54",18.0,x2,"5, 8, 35, 62, 63",8.0,,$237 Million ,LotteryUSA,,,,,,
2025-07-09,"5, 9, 25, 28, 69",5.0,x2,"24, 40, 51, 52, 61",17.0,,$217 Million ,LotteryUSA,,,,,,
2025-07-07,"33, 35, 58, 61, 69",25.0,x5,"14, 17, 49, 52, 68",7.0,,$204 Million ,LotteryUSA,,,,,,
2025-07-05,"1, 28, 34, 50, 58",8.0,x2,"15, 20, 61, 63, 69",1.0,,$192 Million ,LotteryUSA,,,,,,
2025-07-02,"7, 19, 21, 54, 63",21.0,x2,"10, 18, 21, 37, 40",10.0,,$175 Million ,LotteryUSA,,,,,,
2025-06-30,"13, 28, 44, 52, 55",6.0,x4,"4, 9, 41, 42, 61",26.0,,$163 Million ,LotteryUSA,,,,,,
2025-06-28,"4, 35, 43, 52, 62",12.0,x2,"8, 15, 22, 34, 62",22.0,,$153 Million ,LotteryUSA,,,,,,
2025-06-25,"2, 12, 37, 51, 61",22.0,x3,"1, 11, 49, 57, 61",25.0,,$140 Million ,LotteryUSA,,,,,,
2025-06-23,"5, 25, 42, 44, 65",20.0,x3,"4, 7, 12, 20, 55",12.0,,$129 Million ,LotteryUSA,,,,,,
2025-06-21,"3, 16, 32, 52, 62",24.0,x3,"1, 26, 29, 44, 52",26.0,,$120 Million ,LotteryUSA,,,,,,
2025-06-18,"23, 29, 50, 64, 67",11.0,x2,"13, 15, 17, 36, 66",10.0,,$102 Million ,LotteryUSA,,,,,,
2025-06-16,"17, 21, 23, 27, 52",19.0,x5,"32, 42, 52, 55, 56",18.0,,$90 Million ,LotteryUSA,,,,,,
2025-06-14,"4, 6, 9, 23, 59",25.0,x3,"19, 20, 39, 47, 55",15.0,,$80 Million ,LotteryUSA,,,,,,
2025-06-11,"13, 25, 29, 37, 53",3.0,x2,"4, 29, 37, 48, 56",6.0,,$65 Million ,LotteryUSA,,,,,,
2025-06-09,"30, 33, 40, 43, 52",25.0,x4,"1, 7, 24, 50, 59",11.0,,$54 Million ,LotteryUSA,,,,,,
2025-06-07,"31, 36, 43, 48, 62",25.0,x2,"6, 7, 16, 22, 28",17.0,,$45 Million ,LotteryUSA,,,,,,
2025-06-04,"5, 17, 23, 35, 45",24.0,x10,"13, 33, 35, 36, 56",2.0,,$30 Million ,LotteryUSA,,,,,,
2025-06-02,"1, 7, 44, 57, 61",21.0,x3,"4, 25, 43, 44, 63",4.0,,$20 Million ,LotteryUSA,,,,,,
2025-05-31,"1, 29, 37, 56, 68",13.0,x2,"34, 44, 61, 64, 68",19.0,,$205 Million ,LotteryUSA,,,,,,
2025-05-28,"23, 27, 32, 35, 59",11.0,x2,"14, 30, 41, 48, 69",12.0,,$190 Million ,LotteryUSA,,,,,,
2025-05-26,"13, 47, 52, 64, 67",25.0,x2,"7, 13, 27, 29, 67",8.0,,$177 Million ,LotteryUSA,,,,,,
2025-05-24,"12, 18, 28, 48, 52",5.0,x3,"25, 29, 50, 64, 65",3.0,,$167 Million ,LotteryUSA,,,,,,
2025-05-21,"9, 29, 31, 34, 43",2.0,x2,"4, 9, 21, 37, 56",2.0,,$147 Million ,LotteryUSA,,,,,,
2025-05-19,"13, 14, 37, 50, 60",11.0,x2,"11, 12, 27, 30, 35",7.0,,$135 Million ,LotteryUSA,,,,,,
2025-05-17,"7, 34, 40, 42, 52",15.0,x2,"14, 18, 31, 34, 37",17.0,,$125 Million ,LotteryUSA,,,,,,
2025-05-14,"4, 10, 24, 29, 53",4.0,x3,"2, 44, 55, 56, 67",5.0,,$106 Million ,LotteryUSA,,,,,,
2025-05-12,"15, 16, 41, 48, 60",21.0,x3,"23, 45, 53, 54, 57",18.0,,$94 Million ,LotteryUSA,,,,,,
2025-05-10,"5, 20, 28, 39, 42",13.0,x2,"24, 36, 43, 47, 69",22.0,,$84 Million ,LotteryUSA,,,,,,
2025-05-07,"14, 15, 30, 40, 59",20.0,x3,"9, 31, 32, 50, 57",14.0,,$66 Million ,LotteryUSA,,,,,,
2025-05-05,"16, 34, 40, 45, 66",19.0,x2,"21, 26, 28, 62, 63",1.0,,$55 Million ,LotteryUSA,,,,,,
2025-05-03,"10, 21, 23, 35, 65",24.0,x2,"14, 23, 33, 38, 60",3.0,,$46 Million ,LotteryUSA,,,,,,
2025-04-30,"1, 2, 3, 57, 59",9.0,x2,"1, 34, 38, 60, 65",9.0,,$30 Million ,LotteryUSA,,,,,,
2025-04-28,"26, 43, 51, 56, 60",24.0,x4,"11, 13, 39, 48, 61",3.0,,$20 Million ,LotteryUSA,,,,,,
2025-04-26,"1, 12, 14, 18, 69",2.0,x3,"12, 20, 26, 38, 40",5.0,,$167 Million ,LotteryUSA,,,,,,
2025-04-23,"15, 44, 63, 66, 69",20.0,x2,"37, 42, 49, 54, 66",26.0,,$151 Million ,LotteryUSA,,,,,,
2025-04-21,"4, 33, 45, 46, 51",25.0,x3,"18, 23, 34, 35, 67",13.0,,$139 Million ,LotteryUSA,,,,,,
2025-04-19,"7, 25, 37, 39, 63",1.0,x3,"2, 3, 21, 55, 63",12.0,,$129 Million ,LotteryUSA,,,,,,
2025-04-16,"20, 24, 42, 43, 49",19.0,x3,"7, 36, 40, 47, 59",9.0,,$114 Million ,LotteryUSA,,,,,,
2025-04-14,"3, 20, 30, 52, 62",1.0,x3,"9, 18, 41, 42, 63",4.0,,$101 Million ,LotteryUSA,,,,,,
2025-04-12,"16, 22, 44, 45, 53",19.0,x2,"5, 10, 46, 49, 60",16.0,,$89 Million ,LotteryUSA,,,,,,
2025-04-09,"4, 29, 37, 55, 67",10.0,x4,"2, 15, 44, 60, 68",23.0,,$66 Million ,LotteryUSA,,,,,,
2025-04-07,"20, 23, 48, 59, 66",4.0,x2,"2, 31, 36, 51, 58",15.0,,$55 Million ,LotteryUSA,,,,,,
2025-04-05,"4, 23, 30, 46, 62",2.0,x4,"10, 16, 20, 48, 51",5.0,,$45 Million ,LotteryUSA,,,,,,
2025-04-02,"5, 17, 41, 64, 69",1.0,x2,"7, 18, 23, 31, 44",24.0,,$31 Million ,LotteryUSA,,,,,,
2025-03-31,"12, 41, 44, 52, 64",25.0,x2,"2, 44, 52, 65, 66",12.0,,$527 Million ,LotteryUSA,,,,,,
2025-03-29,"7, 11, 21, 53, 61",2.0,x3,"7, 11, 14, 26, 59",10.0,,$527 Million ,LotteryUSA,,,,,,
2025-03-26,"5, 20, 29, 39, 53",6.0,x3,"26, 32, 41, 51, 66",22.0,,$483 Million ,LotteryUSA,,,,,,
2025-03-24,"6, 23, 35, 36, 47",12.0,x2,"2, 54, 59, 65, 68",3.0,,$462 Million ,LotteryUSA,,,,,,
2025-03-22,"6, 7, 25, 46, 57",12.0,x3,"2, 4, 47, 53, 64",11.0,,$443 Million ,LotteryUSA,,,,,,
2025-03-19,"8, 11, 21, 49, 59",15.0,x2,"7, 15, 36, 40, 56",8.0,,$418 Million ,LotteryUSA,,,,,,
2025-03-17,"11, 18, 23, 38, 60",9.0,x2,"4, 19, 21, 38, 64",26.0,,$398 Million ,LotteryUSA,,,,,,
2025-03-15,"12, 28, 33, 36, 54",5.0,x3,"35, 36, 47, 50, 58",11.0,,$381 Million ,LotteryUSA,,,,,,
2025-03-12,"11, 13, 28, 51, 58",1.0,x2,"30, 31, 45, 56, 69",25.0,,$353 Million ,LotteryUSA,,,,,,
2025-03-10,"17, 40, 47, 50, 55",6.0,x2,"41, 42, 46, 48, 59",3.0,,$336 Million ,LotteryUSA,,,,,,
2025-03-08,"2, 4, 16, 23, 63",13.0,x3,"21, 24, 37, 62, 68",11.0,,$320 Million ,LotteryUSA,,,,,,
2025-03-05,"24, 28, 40, 63, 65",20.0,x3,"22, 36, 39, 45, 50",14.0,,$295 Million ,LotteryUSA,,,,,,
2025-03-03,"18, 20, 50, 52, 56",20.0,x2,"9, 34, 54, 67, 69",11.0,,$279 Million ,LotteryUSA,,,,,,
2025-03-01,"2, 23, 36, 44, 49",25.0,x3,"6, 19, 37, 66, 68",6.0,,$265 Million ,LotteryUSA,,,,,,
2025-02-26,"28, 48, 55, 60, 62",20.0,x2,"21, 26, 45, 46, 64",11.0,,$249 Million ,LotteryUSA,,,,,,
2025-02-24,"10, 11, 34, 59, 68",14.0,x3,"22, 48, 61, 63, 66",17.0,,$233 Million ,LotteryUSA,,,,,,
2025-02-22,"7, 18, 22, 50, 65",15.0,x2,"9, 18, 26, 35, 57",14.0,,$219 Million ,LotteryUSA,,,,,,
2025-02-19,"6, 21, 28, 49, 60",20.0,x2,"15, 21, 34, 43, 60",23.0,,$196 Million ,LotteryUSA,,,,,,
2025-02-17,"4, 44, 47, 52, 57",9.0,x4,"17, 18, 49, 56, 59",8.0,,$183 Million ,LotteryUSA,,,,,,
2025-02-15,"3, 16, 45, 54, 56",12.0,x2,"12, 18, 43, 58, 61",19.0,,$172 Million ,LotteryUSA,,,,,,
2025-02-12,"21, 32, 36, 45, 49",18.0,x2,"11, 24, 26, 31, 39",15.0,,$142 Million ,LotteryUSA,,,,,,
2025-02-10,"2, 17, 18, 29, 43",3.0,x3,"2, 21, 34, 38, 44",19.0,,$142 Million ,LotteryUSA,,,,,,
2025-02-08,"23, 44, 57, 60, 62",9.0,x2,"5, 20, 23, 36, 53",17.0,,$131 Million ,LotteryUSA,,,,,,
2025-02-05,"19, 27, 30, 50, 62",14.0,x3,"13, 24, 40, 41, 50",4.0,,$115 Million ,LotteryUSA,,,,,,
2025-02-03,"12, 37, 47, 54, 60",17.0,x3,"7, 38, 39, 42, 55",10.0,,$101 Million ,LotteryUSA,,,,,,
2025-02-01,"23, 29, 32, 49, 61",8.0,x2,"3, 15, 37, 49, 69",16.0,,$88 Million ,LotteryUSA,,,,,,
2025-01-29,"8, 12, 31, 33, 38",18.0,x3,"18, 28, 41, 63, 68",4.0,,$71 Million ,LotteryUSA,,,,,,
2025-01-27,"2, 40, 47, 53, 55",20.0,x2,"1, 9, 34, 63, 67",6.0,,$59 Million ,LotteryUSA,,,,,,
2025-01-25,"8, 15, 17, 53, 66",14.0,x3,"2, 5, 52, 59, 60",16.0,,$48 Million ,LotteryUSA,,,,,,
2025-01-22,"5, 6, 27, 40, 49",5.0,x2,"1, 12, 39, 40, 52",15.0,,$31 Million ,LotteryUSA,,,,,,
2025-01-20,"15, 16, 32, 47, 54",6.0,x3,"10, 23, 33, 38, 54",17.0,,$20 Million ,LotteryUSA,,,,,,
2025-01-18,"14, 31, 35, 64, 69",23.0,x2,"7, 34, 40, 48, 57",17.0,,$329 Million ,LotteryUSA,,,,,,
2025-01-15,"8, 41, 52, 53, 58",7.0,x3,"11, 15, 25, 51, 54",15.0,,$305 Million ,LotteryUSA,,,,,,
2025-01-13,"4, 6, 16, 39, 66",9.0,x2,"29, 30, 32, 37, 56",18.0,,$285 Million ,LotteryUSA,,,,,,
2025-01-11,"3, 6, 32, 37, 65",4.0,x3,"22, 24, 25, 44, 53",20.0,,$268 Million ,LotteryUSA,,,,,,
2025-01-08,"1, 20, 36, 38, 43",24.0,x2,"22, 29, 36, 61, 65",17.0,,$206 Million ,LotteryUSA,,,,,,
2025-01-06,"17, 34, 46, 66, 67",14.0,x2,"41, 44, 54, 57, 64",13.0,,$220 Million ,LotteryUSA,,,,,,
2025-01-04,"26, 32, 43, 54, 56",24.0,x2,"12, 25, 63, 65, 66",14.0,,$206 Million ,LotteryUSA,,,,,,
2025-01-01,"6, 12, 28, 35, 66",26.0,x3,"8, 10, 25, 33, 66",20.0,,$181 Million ,LotteryUSA,,,,,,
2024-12-30,"9, 19, 33, 38, 39",1.0,x3,"15, 34, 52, 56, 57",14.0,,$166 Million ,LotteryUSA,,,,,,
2024-12-28,"6, 31, 51, 54, 55",12.0,x2,"22, 40, 42, 54, 68",7.0,,$152 Million ,LotteryUSA,,,,,,
